"model","n_parameters","n_observations","nll","AIC","BIC","xi","se_xi","convergence"
"stationary GPD, declustered cluster maxima",2,129,-466.02039712968,-928.040794259359,-922.321169450636,0.34783670569827,0.11869539373735,0
"volatility-dependent GPD, declustered cluster maxima",3,129,-474.263552939838,-942.527105879676,-933.947668666591,0.162953500831831,0.11534578777866,0
