"model","n_parameters","nll","AIC","BIC","xi","se_xi","convergence"
"stationary GPD",2,-733.110449149502,-1462.220898299,-1455.52668323757,0.284083367952821,0.0942532853197433,0
"volatility-dependent scale GPD",3,-749.375365186994,-1492.75073037399,-1482.70940778184,0.120789269873493,0.0849300093299616,0
"volatility + time scale GPD",4,-750.8017731659,-1493.6035463318,-1480.21511620893,0.129866231188282,0.082014758486626,0
