"date","return","loss","rv21_lag","log_vol","z_vol","t_scaled","exceed","excess","fitted_sigma_vol_model"
1996-03-08,-0.0329164933626345,0.0329164933626345,0.00905949144211472,-4.70394229271964,0.0768852386637797,-1.41650335841346,TRUE,0.00871578609192002,0.00601019005521935
1996-07-05,-0.0258713895687515,0.0258713895687515,0.00514420705422982,-5.269884041257,-1.06079095374419,-1.3826246139509,TRUE,0.00167068229803701,0.00391349301825948
1996-07-15,-0.029970318335097,0.029970318335097,0.00854284844637649,-4.76266078506407,-0.0411527590046941,-1.38014568142925,TRUE,0.00576961106438256,0.00574852543636647
1997-03-27,-0.026828744871338,0.026828744871338,0.00936062817496933,-4.6712428780342,0.142618762810831,-1.30660401662026,TRUE,0.00262803760062357,0.0061610361252462
1997-04-11,-0.032267694572107,0.032267694572107,0.0112014910354818,-4.49170838137384,0.503525381017228,-1.30247246241751,TRUE,0.00806698730139254,0.00705929719981135
1997-06-23,-0.0245443203405356,0.0245443203405356,0.00713582978310337,-4.94262673725359,-0.402926704431389,-1.28181469140375,TRUE,0.000343613069821107,0.00501541297702176
1997-08-15,-0.0311825251795179,0.0311825251795179,0.0105947425696374,-4.54739738490133,0.39157736930773,-1.2661147854333,TRUE,0.00698181790880347,0.00676748200207077
1997-10-27,-0.0752340158934812,0.0752340158934812,0.0104234193224831,-4.56370014653594,0.358804979163119,-1.24545701441954,TRUE,0.0510333086227668,0.00668435936477242
1998-01-09,-0.0352546075790743,0.0352546075790743,0.0101942369787303,-4.585932720451,0.314112269879007,-1.2243860879855,TRUE,0.0110539003083598,0.00657264556898489
1998-06-15,-0.026668046304029,0.026668046304029,0.0102952391870779,-4.57607370544757,0.333931211808971,-1.18017845801606,TRUE,0.00246733903331452,0.00662195268521818
1998-08-04,-0.0395125925767275,0.0395125925767275,0.0103254905059788,-4.57313963463112,0.339829385116281,-1.16571801830643,TRUE,0.015311885306013,0.00663669791906867
