"model","observations_used","xi","se_xi","beta_vol","se_beta_vol","AIC","BIC"
"all exceedances stationary GPD",210,0.284013526701133,0.0942192570870768,NA,NA,-1462.23327203499,-1455.53905697355
"all exceedances volatility-dependent GPD",210,0.120829404220529,0.0849351038869566,0.377107338474709,0.0627680402680247,-1492.76267792877,-1482.72135533662
"cluster maxima stationary GPD",129,0.34783670569827,0.11869539373735,NA,NA,-928.040794259359,-922.321169450636
"cluster maxima volatility-dependent GPD",129,0.162953500831831,0.11534578777866,0.4041351961719,0.0899920270133957,-942.527105879676,-933.947668666591
