"model","n_parameters","AIC","BIC"
"constant exceedance probability",1,1965.22411320748,1972.25819361404
"volatility-dependent exceedance probability",2,1699.59566506338,1713.6638258765
"volatility + time exceedance probability",3,1701.36498976734,1722.46723098702
