"volatility_state","volatility_quantile","z_vol","zeta_hat","sigma_hat","xi_hat","raw_zeta_hat","cluster_zeta_hat","cluster_sigma_hat","cluster_xi_hat"
"low volatility",0.25,-0.718298713278247,0.00720441588641029,0.00445303847924063,0.120829404220529,0.00720441588641029,0.00442556975879489,0.00428506353966796,0.162953500831831
"median volatility",0.5,-0.0718587482635706,0.0137460057799044,0.00568234455985518,0.120829404220529,0.0137460057799044,0.00844397497908415,0.00556437418238466,0.162953500831831
"high volatility",0.75,0.657529036456326,0.0282843645407374,0.00748141098383046,0.120829404220529,0.0282843645407374,0.0173746810750244,0.0074719484205504,0.162953500831831
"crisis volatility",0.9,1.30187505519644,0.0528398199114106,0.00953919423910112,0.120829404220529,0.0528398199114106,0.0324587465170094,0.00969449988530095,0.162953500831831
"extreme crisis volatility",0.95,1.65199526806966,0.073596570585068,0.0108856120537545,0.120829404220529,0.073596570585068,0.0452093219308275,0.0111680229776344,0.162953500831831
