"volatility_state","volatility_quantile","z_vol","zeta_hat","sigma_hat","xi_hat"
"low volatility",0.25,-0.71827114466861,0.00720460981116096,0.0044534742849539,0.120789269873493
"median volatility",0.5,-0.071853002600216,0.0137460834363537,0.00568281943177659,0.120789269873493
"high volatility",0.75,0.65752466356715,0.0282842613129548,0.00748195643939288,0.120789269873493
"crisis volatility",0.9,1.30187726918769,0.0528399971360524,0.00953985573230941,0.120789269873493
"extreme crisis volatility",0.95,1.65201954584441,0.0735983547939909,0.010886421720846,0.120789269873493
