"date","return","loss","rv21_lag","log_vol","z_vol","t_scaled"
1993-03-03,0.00416346945771817,-0.00416346945771817,0.00826783464420454,-4.79538263685408,-0.106931387015802,-1.73174094408343
1993-03-04,-0.00555538598822602,0.00555538598822602,0.00818566167916375,-4.80537123096662,-0.127010813470617,-1.73132778866315
1993-03-05,-0.00278919289395718,0.00278919289395718,0.00830056386364444,-4.79143183110824,-0.0989893370619282,-1.73091463324288
1993-03-08,0.0220999209128823,-0.0220999209128823,0.00800586024204294,-4.82758147521627,-0.171658634868659,-1.7305014778226
1993-03-09,-0.00342089008881796,0.00342089008881796,0.00932719262917291,-4.67482120659629,0.135425479713717,-1.73008832240233
1993-03-10,0.00205386196132329,-0.00205386196132329,0.00936773298137389,-4.67048415636217,0.144143972048628,-1.72967516698205
1993-03-11,-0.00273967535836173,0.00273967535836173,0.00937124847358327,-4.67010895002995,0.144898225136529,-1.72926201156178
1993-03-12,-0.0103410391658882,0.0103410391658882,0.00924130705545265,-4.68407194711471,0.116829312745728,-1.7288488561415
1993-03-15,0.0048387608471292,-0.0048387608471292,0.0095627298821391,-4.64988204015618,0.185559077368841,-1.72843570072123
1993-03-16,0,0,0.00956176725214529,-4.64998270999213,0.185356707291079,-1.72802254530095
1993-03-17,-0.00622585096841677,0.00622585096841677,0.00938267965866109,-4.66888987886653,0.147348845263189,-1.72760938988068
1993-03-18,0.00622585096841677,-0.00622585096841677,0.00741399279776989,-4.90438614569056,-0.326054109827275,-1.7271962344604
1993-03-19,-0.00151380959655301,0.00151380959655301,0.00745632551604388,-4.89869254428415,-0.314608630171702,-1.72678307904012
1993-03-22,-0.00556715707517741,0.00556715707517741,0.00747286766551863,-4.89647646253835,-0.310153783980993,-1.72636992361985
1993-03-23,0.00209128869831954,-0.00209128869831954,0.00763915659044902,-4.87446807581785,-0.265911743753487,-1.72595676819957
1993-03-24,0,0,0.00762615531039496,-4.8761714518487,-0.269335930716228,-1.7255436127793
1993-03-25,0.00624798232619517,-0.00624798232619517,0.00761751229027413,-4.8773054336795,-0.271615501245999,-1.72513045735902
1993-03-26,-0.00555255011634781,0.00555255011634781,0.00725774849739805,-4.92568562256926,-0.368871074326317,-1.72471730193875
1993-03-29,0.0041672235911201,-0.0041672235911201,0.00740032828271418,-4.90623091722706,-0.329762535054668,-1.72430414651847
1993-03-30,0.0027684305875102,-0.0027684305875102,0.00743561535606578,-4.90147393772472,-0.320199885998352,-1.7238909910982
1993-03-31,-0.000692001858515479,0.000692001858515479,0.00739361670426717,-4.90713825856344,-0.331586504817391,-1.72347783567792
1993-04-01,-0.0034632161531043,0.0034632161531043,0.00672200104892469,-5.00236939363569,-0.523023513003635,-1.72306468025765
1993-04-02,-0.0210391706408517,0.0210391706408517,0.00671955106924213,-5.00273393185095,-0.523756320664119,-1.72265152483737
1993-04-05,0.00494938227615682,-0.00494938227615682,0.00808485388896977,-4.81776285798158,-0.151920901967448,-1.7222383694171
1993-04-06,-0.0028252069989172,0.0028252069989172,0.00815669600654192,-4.80891609315981,-0.134136821284993,-1.72182521399682
1993-04-07,0.0035295417925898,-0.0035295417925898,0.00635802107461245,-5.05803810183836,-0.634930726330737,-1.72141205857655
1993-04-08,-0.00141041588957869,0.00141041588957869,0.00642972316918513,-5.04682379466328,-0.612387327967902,-1.72099890315627
1993-04-12,0.0140154332935905,-0.0140154332935905,0.00638908834930194,-5.05316368911164,-0.625132008838184,-1.720585747736
1993-04-13,0.00208616685754226,-0.00208616685754226,0.00719144065069447,-4.93486375865626,-0.387321289288972,-1.72017259231572
