"cluster_id","start_index","end_index","start_date","end_date","cluster_size","cluster_duration_trading_days","cluster_max_loss","cluster_max_excess","cluster_max_date","z_vol_at_cluster_max","t_scaled_at_cluster_max","rv21_lag_at_cluster_max"
1,764,764,1996-03-08,1996-03-08,1,1,0.0329164933626345,0.00871578609192002,1996-03-08,0.0768852386637797,-1.41650335841346,0.00905949144211472
2,846,846,1996-07-05,1996-07-05,1,1,0.0258713895687515,0.00167068229803701,1996-07-05,-1.06079095374419,-1.3826246139509,0.00514420705422982
3,852,852,1996-07-15,1996-07-15,1,1,0.029970318335097,0.00576961106438256,1996-07-15,-0.0411527590046941,-1.38014568142925,0.00854284844637649
4,1030,1030,1997-03-27,1997-03-27,1,1,0.026828744871338,0.00262803760062357,1997-03-27,0.142618762810831,-1.30660401662026,0.00936062817496933
5,1040,1040,1997-04-11,1997-04-11,1,1,0.032267694572107,0.00806698730139254,1997-04-11,0.503525381017228,-1.30247246241751,0.0112014910354818
6,1090,1090,1997-06-23,1997-06-23,1,1,0.0245443203405356,0.000343613069821107,1997-06-23,-0.402926704431389,-1.28181469140375,0.00713582978310337
7,1128,1128,1997-08-15,1997-08-15,1,1,0.0311825251795179,0.00698181790880347,1997-08-15,0.39157736930773,-1.2661147854333,0.0105947425696374
8,1178,1178,1997-10-27,1997-10-27,1,1,0.0752340158934812,0.0510333086227668,1997-10-27,0.358804979163119,-1.24545701441954,0.0104234193224831
9,1229,1229,1998-01-09,1998-01-09,1,1,0.0352546075790743,0.0110539003083598,1998-01-09,0.314112269879007,-1.2243860879855,0.0101942369787303
10,1336,1336,1998-06-15,1998-06-15,1,1,0.026668046304029,0.00246733903331452,1998-06-15,0.333931211808971,-1.18017845801606,0.0102952391870779
11,1371,1371,1998-08-04,1998-08-04,1,1,0.0395125925767275,0.015311885306013,1998-08-04,0.339829385116281,-1.16571801830643,0.0103254905059788
12,1388,1390,1998-08-27,1998-08-31,2,3,0.0740151173270318,0.0498144100563174,1998-08-31,1.3633221465878,-1.1578680653212,0.0171801796044898
13,1396,1396,1998-09-09,1998-09-09,1,1,0.0245709884045704,0.000370281133855947,1998-09-09,2.23720065692275,-1.15538913279955,0.0265351658471217
14,1402,1412,1998-09-17,1998-10-01,4,11,0.0308469416176385,0.00664623434692401,1998-09-30,2.34697590586172,-1.14919180149542,0.0280244969862959
15,1453,1453,1998-11-30,1998-11-30,1,1,0.0286486134494686,0.00444790617875412,1998-11-30,0.117005460036486,-1.13183927384386,0.00924211686232579
16,1463,1463,1998-12-14,1998-12-14,1,1,0.029238655039844,0.00503794776912957,1998-12-14,0.709721853356414,-1.12770771964111,0.0124114593805202
17,1488,1488,1999-01-21,1999-01-21,1,1,0.0268558662463878,0.00265515897567336,1999-01-21,0.720501492130319,-1.11737883413423,0.0124781930592184
18,1530,1530,1999-03-23,1999-03-23,1,1,0.0292841179509882,0.00508341068027373,1999-03-23,0.615494271618816,-1.10002630648267,0.011843110278835
19,1567,1567,1999-05-14,1999-05-14,1,1,0.0262811665001568,0.00208045922944233,1999-05-14,0.538746892171837,-1.08473955593249,0.0113994827853437
20,1672,1674,1999-10-13,1999-10-15,2,3,0.0262249900909763,0.0020242828202619,1999-10-13,0.622016331868389,-1.0413582368036,0.0118815967728947
21,1729,1729,2000-01-04,2000-01-04,1,1,0.0398914137181361,0.0156907064474216,2000-01-04,-0.138252297759189,-1.01780837784791,0.0081400142038037
22,1742,1746,2000-01-24,2000-01-28,2,5,0.0316905962958094,0.00748988902509495,2000-01-28,1.54952976642767,-1.01078473570323,0.0188476101788218
23,1798,1800,2000-04-12,2000-04-14,2,3,0.058892728847332,0.0346920215766175,2000-04-14,1.12707838461503,-0.988474343008374,0.0152752814417579
24,1925,1928,2000-10-12,2000-10-17,2,4,0.0252650803493486,0.00106437307863416,2000-10-12,0.516419258019862,-0.936829915473976,0.0112735695740351
25,1946,1946,2000-11-10,2000-11-10,1,1,0.0246259285608614,0.000425221290146986,2000-11-10,1.32524703147967,-0.928153651648197,0.0168578385855112
26,1973,1973,2000-12-20,2000-12-20,1,1,0.029390502846832,0.00518979557611753,2000-12-20,1.34822592191717,-0.916998455300767,0.017051645188992
27,1983,1983,2001-01-05,2001-01-05,1,1,0.0331874251168669,0.00898671784615245,2001-01-05,1.80252466289455,-0.912866901098015,0.0213753734761798
28,2026,2027,2001-03-09,2001-03-12,2,2,0.0437445453894565,0.019543838118742,2001-03-12,0.861976116352254,-0.894688062605907,0.0133880123408221
29,2033,2033,2001-03-20,2001-03-20,1,1,0.0272103665297916,0.00300965925907714,2001-03-20,1.39261318000327,-0.892209130084256,0.0174323437520176
30,2039,2043,2001-03-28,2001-04-03,2,5,0.0339312180310012,0.00973051076028674,2001-04-03,1.69787127861894,-0.888077575881504,0.0202910362894811
31,2151,2157,2001-09-06,2001-09-20,3,7,0.0536636155006365,0.029462908229922,2001-09-17,0.678475519875518,-0.842217324230959,0.012220031983363
32,2184,2184,2001-10-29,2001-10-29,1,1,0.0263599582891123,0.00215925101839786,2001-10-29,0.565650436391709,-0.829822661622704,0.011553070716246
33,2246,2250,2002-01-29,2002-02-04,2,5,0.0319471910456741,0.00774648377495967,2002-01-29,-0.0167551009102867,-0.804207025565642,0.0086471623084984
34,2296,2296,2002-04-11,2002-04-11,1,1,0.0251803448685521,0.000979637597837694,2002-04-11,-0.393775312659783,-0.783549254551883,0.00716838897428449
35,2332,2332,2002-06-03,2002-06-03,1,1,0.0269405478537141,0.00273984058299969,2002-06-03,0.939481412283079,-0.768675659421977,0.0139142714522124
36,2357,2358,2002-07-09,2002-07-10,2,2,0.0370812305706787,0.0128805232999642,2002-07-10,1.381391596688,-0.757933618494822,0.0173353036194
37,2364,2367,2002-07-18,2002-07-23,4,4,0.0358280861906586,0.0116273789199441,2002-07-19,1.48302753136281,-0.755041530552896,0.0182342977382025
38,2374,2376,2002-08-01,2002-08-05,2,3,0.0354162098963746,0.0112155026256602,2002-08-05,2.32373517772803,-0.750496820929869,0.0277023659604645
39,2396,2396,2002-09-03,2002-09-03,1,1,0.0388805591049426,0.0146798518342281,2002-09-03,1.68419988898745,-0.742233712524365,0.0201535073819195
40,2408,2408,2002-09-19,2002-09-19,1,1,0.0262177277869524,0.00201702051623797,2002-09-19,1.05734113366097,-0.737275847481063,0.0147544516592904
41,2414,2427,2002-09-27,2002-10-16,4,14,0.0353782973022958,0.0111775900315814,2002-09-27,1.23549773160568,-0.734796914959412,0.0161217547156581
42,2443,2443,2002-11-07,2002-11-07,1,1,0.0248108217352181,0.000610114464503646,2002-11-07,1.69696330655962,-0.722815407771432,0.0202818734158283
43,2464,2464,2002-12-09,2002-12-09,1,1,0.0278759099786923,0.00367520270797782,2002-12-09,0.965222488525981,-0.714139143945653,0.0140935894056834
44,2495,2495,2003-01-24,2003-01-24,1,1,0.0266164911063598,0.00241578383564533,2003-01-24,0.746807745805519,-0.701331325917122,0.0126425577352501
45,2525,2525,2003-03-10,2003-03-10,1,1,0.0242969996944145,9.62924237000104e-05,2003-03-10,0.621914570513266,-0.688936663308867,0.0118809953225732
46,2535,2535,2003-03-24,2003-03-24,1,1,0.0337971224761242,0.00959641520540976,2003-03-24,1.11236491226419,-0.684805109106115,0.0151638855770759
47,3524,3524,2007-02-27,2007-02-27,1,1,0.0398410044935416,0.0156402972228271,2007-02-27,-1.62480980755505,-0.276194398453959,0.00388567889230462
48,3634,3638,2007-08-03,2007-08-09,2,5,0.0300819857551318,0.00588127848441732,2007-08-09,0.817319877827541,-0.229094680542589,0.0130938842983633
49,3688,3688,2007-10-19,2007-10-19,1,1,0.0265050105197231,0.00230430324900865,2007-10-19,-0.723711271525853,-0.20843690952883,0.00608333415291489
50,3701,3701,2007-11-07,2007-11-07,1,1,0.0277367374901978,0.00353603021948334,2007-11-07,0.369599117298993,-0.203065889065252,0.0104795393346305
51,3724,3724,2007-12-11,2007-12-11,1,1,0.0278025893125751,0.00360188204186062,2007-12-11,1.13400433538797,-0.193563314398923,0.0153280007915151
52,3740,3740,2008-01-04,2008-01-04,1,1,0.0248119724958684,0.000611265225153972,2008-01-04,0.493868023928896,-0.18695282767452,0.0111478070920201
53,3749,3749,2008-01-17,2008-01-17,1,1,0.0262577348822299,0.00205702761151549,2008-01-17,0.443398566863697,-0.183234428892043,0.0108714117021439
54,3761,3761,2008-02-05,2008-02-05,1,1,0.02713870941668,0.00293800214596551,2008-02-05,1.07965797834669,-0.178276563848741,0.0149191623698373
55,3791,3791,2008-03-19,2008-03-19,1,1,0.025081881202035,0.000881173931320582,2008-03-19,1.20848541987302,-0.165881901240486,0.0159065694648847
56,3846,3846,2008-06-06,2008-06-06,1,1,0.0324132474705126,0.00821254019979811,2008-06-06,0.170562213390653,-0.143158353125351,0.00949165495270856
57,3860,3860,2008-06-26,2008-06-26,1,1,0.02753605508848,0.00333534781776556,2008-06-26,0.449076408316755,-0.137374177241498,0.0109021610376949
58,3908,3917,2008-09-04,2008-09-17,4,10,0.0487545817445882,0.0245538744738738,2008-09-15,0.957297758985948,-0.114650629126363,0.0140381391731004
59,3925,3945,2008-09-29,2008-10-27,12,21,0.103637604427165,0.0794368971564507,2008-10-15,3.38985727100814,-0.105561209880309,0.0470807723788873
60,3952,3963,2008-11-05,2008-11-20,7,12,0.0771324614249322,0.0529317541542178,2008-11-20,3.31448576679993,-0.0948191689531544,0.0453482152158535
