"threshold_probability","threshold_value","threshold_percent","number_exceedances","exceedance_fraction"
0.95,0.0181928910686664,1.81928910686664,421,0.050101154349637
0.975,0.0242236454923804,2.42236454923804,211,0.0251100797334285
0.99,0.0325384939550125,3.25384939550125,85,0.0101154349637034
