"threshold","return_period","m_trading_days","return_level_decimal","return_level_percent"
"95%","1 year",252,0.045042704424785,4.50427044247851
"95%","5 years",1260,0.0715901569882748,7.15901569882748
"95%","10 years",2520,0.086216157398357,8.6216157398357
"97.5%","1 year",252,0.0445171000689641,4.45171000689641
"97.5%","5 years",1260,0.07378266220833,7.378266220833
"97.5%","10 years",2520,0.0913053137864762,9.13053137864762
"99%","1 year",252,0.0455658973319077,4.55658973319077
"99%","5 years",1260,0.0730666469857443,7.30666469857443
"99%","10 years",2520,0.0872669249642174,8.72669249642174
