"threshold","threshold_value","threshold_percent","exceedances","sigma","xi","se_sigma","se_xi"
"95%",0.0181928910686664,1.81928910686664,421,0.00793565108995308,0.217511185032781,0.000570387203190412,0.0577351852385357
"97.5%",0.0242236454923804,2.42236454923804,211,0.00829547096173733,0.292711466486089,0.000921072670331633,0.0942760236215791
"99%",0.0325384939550125,3.25384939550125,85,0.0129087114092941,0.159544535478344,0.00225735952994528,0.141717028941178
