"structure_variable","threshold_probability","threshold","threshold_percent","n_observations","n_exceedances","exceedance_fraction","sigma","xi","se_sigma","se_xi"
"max_SPY_VIX",0.975,0.163192946001003,16.3192946001003,6014,151,0.0251080811439973,0.0685023084769828,0.135168198763859,0.00879774146926237,0.100054792070938
"min_SPY_VIX",0.975,0.0240140784678061,2.40140784678061,6014,151,0.0251080811439973,0.00917089608777511,0.290263532776131,0.00123009251812702,0.113925046718423
