"date","x","y","u_x","u_y","z_x","z_y","R","W"
2002-08-01,0.0264539756354729,0.0480988193074099,0.979883624272652,0.995178719866999,49.2090503578825,206.913390358604,256.122440716486,0.192130959787137
2002-08-02,0.0226700674783666,0.0213434196998881,0.969243557772236,0.943474646716542,32.010910276766,17.1863279286626,49.1972382054286,0.65066478209815
2002-08-05,0.0354166890769334,0.0370834954688393,0.990689941812136,0.987531172069825,106.909934814546,79.6989544014058,186.608889215952,0.572909121659393
2002-08-13,0.0183757581698138,0.0347857488423671,0.954114713216958,0.984372402327515,21.2895641239389,63.4880491245653,84.7776132485042,0.251122475712237
2002-08-23,0.0217489334883991,0.0393743072607093,0.966417290108063,0.989858686616791,29.2743811480729,98.1057079546171,127.38008910269,0.229819129145629
2002-08-27,0.0116136759232015,0.0354735168884415,0.897921862011638,0.985702410640066,9.28744598569957,69.4406604038722,78.7281063895718,0.117968618980143
2002-08-28,0.022120468599895,0.037203556250935,0.96691604322527,0.987863674147963,29.7233270720555,81.8962427288021,111.619569800858,0.266291360243418
2002-09-03,0.0388812286467104,0.0368567565329516,0.992684954280964,0.987364921030756,136.20393362744,78.6436772132614,214.847610840701,0.633956007676661
2002-09-12,0.0186066899719304,0.0276710209037478,0.954613466334165,0.970074812967581,21.5290964415001,32.9141348653096,54.4432313068097,0.395441194887477
2002-09-17,0.0231839928651514,0.0214097619676799,0.971072319201995,0.94380714879468,34.0665193578404,17.2910388047019,51.3575581625423,0.663320464925976
2002-09-19,0.026217586412959,0.0160884793896798,0.979551122194514,0.907231920199501,48.4007172990705,10.2714580770706,58.6721753761411,0.824934766587034
2002-09-23,0.00821408988463945,0.0304545328390224,0.845885286783042,0.97689110556941,5.97473201983648,42.7714329717879,48.7461649916244,0.122568247591643
2002-09-27,0.0353782286642788,0.0135164202911855,0.990523690773067,0.881629260182876,105.025522332745,7.93753784642877,112.963060179174,0.929733331995089
2002-09-30,0.0116690953771355,0.0280773135450882,0.898420615128845,0.971238570241064,9.33559248073183,34.2663542328979,43.6019467136297,0.214109533733584
2002-10-02,0.0304392161181064,0.0337755340409038,0.986034912718205,0.98354114713217,71.1059709012921,60.2561927802092,131.362163681501,0.54129719630452
2002-10-09,0.0286508428290104,0.00695429476955445,0.983208645054032,0.779052369077307,59.0530442916226,4.00517453585036,63.0582188274729,0.936484496227074
2002-10-16,0.0245372088884377,0.0336674880678944,0.97522859517872,0.983374896093101,39.8670372571248,59.6486029355446,99.5156401926694,0.400610770125574
2002-10-24,0.020610143255837,0.0255262256520106,0.962261014131338,0.962759767248545,25.9945916408419,26.3495160339129,52.3441076747548,0.496609700605879
2002-11-07,0.0248112628628547,0.0357661969740786,0.975893599334996,0.986201163757274,40.9807251645709,71.9687216113691,112.94944677594,0.362823602366686
2002-11-11,0.0156262998705845,0.0307845447217421,0.936824605153782,0.978054862842893,15.3235094875589,45.0663327072274,60.3898421947862,0.253743161608755
2002-11-26,0.0192256997230471,0.0341608322162257,0.957273482959269,0.984206151288446,22.9010305298973,62.8144628209106,85.7154933508078,0.267174925263163
2002-12-03,0.013476591052541,0.0300911396987531,0.917539484621779,0.975727348295927,11.6198453753798,40.6965824836045,52.3164278589843,0.222107010186177
2002-12-09,0.0278754587885981,0.0483747428358128,0.982543640897756,0.995511221945137,56.7842467501323,222.277402871,279.061649621132,0.203482803270264
2002-12-13,0.0158796420497449,0.0322226893833224,0.937822111388196,0.981047381546135,15.5775384850366,52.261563361021,67.8391018460576,0.229624774814761
2002-12-27,0.0227415669113764,0.0183639309900623,0.969742310889443,0.92402327514547,32.546890181263,12.6553414520515,45.2022316333145,0.72002839252024
2003-01-08,0.0145562146284561,0.0285462202752735,0.929177057356608,0.972568578553616,13.613597529516,35.9522275937506,49.5658251232666,0.27465693339433
2003-01-17,0.014889514181764,0.0436784971170368,0.93216957605985,0.993017456359102,14.2367941623932,142.713701795123,156.950495957516,0.090708819207853
2003-01-24,0.0266161039613051,0.0274206964997235,0.980382377389859,0.969576059850374,50.4729252317873,32.3662778037516,82.8392030355389,0.609287914203302
2003-01-30,0.0239899249146349,0.0261845784189627,0.973233582709892,0.965586034912718,36.8579875448459,28.5550527348168,65.4130402796627,0.563465440335224
2003-03-10,0.0242966431193552,0.0218340031565276,0.974397339983375,0.946134663341646,38.5562802400117,18.0602008530899,56.6164810931016,0.681008065065166
2003-03-24,0.0337983805736846,0.042479657447231,0.989526184538653,0.992352452202826,94.9753130568204,130.260229820826,225.235542877647,0.42167107306156
2003-03-31,0.0229819492514149,0.0323424634365903,0.970573566084788,0.981379883624273,33.4805618780481,53.2037908476487,86.6843527256968,0.386235356500771
2003-05-19,0.0236781163766109,0.0358262470927619,0.972236076475478,0.986533665835411,35.5156177172775,73.7581294437573,109.273747161035,0.325015098685494
2003-07-17,0.0143132119528087,0.0309460922815044,0.926350789692436,0.979052369077307,13.0715035344826,47.2363310724841,60.3078346069667,0.21674635840718
2003-08-05,0.0214442771495102,0.0402258814440732,0.964921030756442,0.990856192851205,28.0041333167783,108.862870875684,136.867004192462,0.204608360371496
2003-09-24,0.0179375978860747,0.0383870007508169,0.951454696591854,0.988694929343308,20.0951683058059,87.9549349000904,108.050103205896,0.185980093582264
2004-04-20,0.0169215292371714,0.0235438632626188,0.946134663341646,0.954447215295096,18.0602008530899,21.4486696404207,39.5088704935106,0.457117620106511
2004-07-21,0.0186242123149958,0.0295017875462555,0.954945968412303,0.974896093100582,21.691730381983,39.332318410181,61.024048792164,0.355461999184302
2004-08-06,0.0144023851075499,0.0265398627982685,0.92718204488778,0.967082294264339,13.2265768664857,29.8759986238285,43.1025754903142,0.30686279685208
2006-01-20,0.0184057672121041,0.0303234407439992,0.954280964256027,0.976558603491272,21.3688276534681,42.1575977769009,63.526425430369,0.33637698813843
2007-02-27,0.0398412360414184,0.0419417418515464,0.992851205320033,0.992019950124688,139.383123058266,124.811832328973,264.194955387239,0.527576776982617
2007-03-13,0.0196250365230881,0.0196314292355484,0.958935993349958,0.933998337489609,23.8487325772498,14.6454438916217,38.4941764688715,0.619541311567872
2007-07-26,0.0239642257185997,0.00853810131773569,0.973067331670823,0.813466334164589,36.6273544913011,4.84377054764603,41.4711250389471,0.883201370999773
2007-07-27,0.0198551374454627,0.0204194851989716,0.959933499584372,0.938154613466334,24.4550987133445,15.6640351575117,40.1191338708562,0.609561980875899
2007-08-03,0.0260823055962032,0.0192157316863835,0.979218620116376,0.931172069825436,47.6182499835494,14.0230434111659,61.6412933947153,0.772505691576418
2007-08-09,0.0300813970465805,0.0234088869027023,0.984871155444721,0.95378221113882,65.5976307327362,21.1327474676536,86.7303782003898,0.756339728868395
2007-08-28,0.0222254059428613,0.0240973680849965,0.967248545303408,0.956774729842061,30.0302199926955,22.6309332288339,52.6611532215294,0.570253747888269
2007-10-19,0.0265049310459933,0.0252322505410207,0.980049875311721,0.961762261014131,49.6233206934129,25.6489249962868,75.2722456896997,0.659251231828246
2007-11-01,0.0236861246457734,0.0188948510345055,0.972402327514547,0.928013300083126,35.7326076525637,13.3852297765702,49.117837429134,0.727487396083304
2007-11-07,0.027736951913969,0.0246246041679208,0.98187863674148,0.95860349127182,54.6819622831846,23.6531034651237,78.3350657483083,0.698052165538209
2007-11-08,0.00508343328824168,0.0308355621080922,0.776226101413134,0.978387364921031,3.94770968853793,45.767409982992,49.71511967153,0.0794066214588364
2007-11-09,0.0138216650025269,0.0340155387641521,0.920532003325021,0.983873649210308,12.0767825041293,61.5089544680312,73.5857369721605,0.164118523521729
2007-11-26,0.0223108092690723,0.0174059225506626,0.967913549459684,0.917539484621779,30.6630854483066,11.6198453753798,42.2829308236864,0.725188269852134
