"pair","quantile_level","conditional_coexceedance","p_y_extreme_given_x_extreme","p_x_extreme_given_y_extreme","n_joint_exceedances"
"spy_qqq",0.9,0.75249169435216,0.75249169435216,0.75249169435216,453
"spy_qqq",0.95,0.720930232558139,0.720930232558139,0.720930232558139,217
"spy_qqq",0.975,0.682119205298013,0.682119205298013,0.682119205298013,103
"spy_qqq",0.99,0.672131147540984,0.672131147540984,0.672131147540984,41
"spy_tlt",0.9,0.0930232558139535,0.0930232558139535,0.0930232558139535,56
"spy_tlt",0.95,0.0498338870431894,0.0498338870431894,0.0498338870431894,15
"spy_tlt",0.975,0.0397350993377483,0.0397350993377483,0.0397350993377483,6
"spy_tlt",0.99,0.0819672131147541,0.0819672131147541,0.0819672131147541,5
"spy_vix",0.9,0.612956810631229,0.612956810631229,0.612956810631229,369
"spy_vix",0.95,0.524916943521595,0.524916943521595,0.524916943521595,158
"spy_vix",0.975,0.423841059602649,0.423841059602649,0.423841059602649,64
"spy_vix",0.99,0.327868852459016,0.327868852459016,0.327868852459016,20
