"date","x","y","u_x","u_y","z_x","z_y"
2002-07-31,-0.002415571600066,0.0191030645191268,0.405320033250208,0.930008312551953,1.10732367244475,13.7813646440409
2002-08-01,0.0264539756354729,0.0480988193074099,0.979883624272652,0.995178719866999,49.2090503578825,206.913390358604
2002-08-02,0.0226700674783666,0.0213434196998881,0.969243557772236,0.943474646716542,32.010910276766,17.1863279286626
2002-08-05,0.0354166890769334,0.0370834954688393,0.990689941812136,0.987531172069825,106.909934814546,79.6989544014058
2002-08-06,-0.0331091302215412,-0.0482568073705947,0.00814630091438072,0.00415627597672485,0.207891938456015,0.182377390571701
2002-08-07,-0.0172891871571181,-0.0132448230170006,0.0440565253532835,0.124355777223608,0.320278585752288,0.479706346700453
2002-08-08,-0.0318364850126551,-0.0332143538091083,0.00980881130507066,0.0133000831255195,0.216240800597627,0.231482285575126
2002-08-09,-0.00373175823914984,0.0102347251388117,0.33715710723192,0.838736492103076,0.919788666962691,5.68638358466357
2002-08-12,0.00736627945001977,-0.00299575845432765,0.828927680798005,0.418453865336658,5.32985501806344,1.14785703326102
2002-08-13,0.0183757581698138,0.0347857488423671,0.954114713216958,0.984372402327515,21.2895641239389,63.4880491245653
2002-08-14,-0.035877590537325,-0.0617695580217683,0.00648379052369077,0.00149625935162095,0.198473737660814,0.153732934244959
2002-08-15,-0.0137849829035721,-0.0201771036247771,0.0763092269326683,0.0548628428927681,0.388657207554232,0.344480851506476
2002-08-16,0.00299967562801484,-0.0069061862769928,0.70906068162926,0.271820448877805,2.90854796476907,0.76768739568155
2002-08-19,-0.0231166695543505,-0.0240018707451295,0.0217788861180382,0.0357439733998337,0.261313959927236,0.300176479730648
2002-08-20,0.0106442424034814,0.00435746750610821,0.88428927680798,0.717206982543641,8.1319963749539,3.00850684076861
2002-08-21,-0.0143057650021401,-0.0219875566014811,0.0693266832917706,0.0437240232751455,0.374682633513607,0.319503354147551
2002-08-22,-0.00966590321761185,-0.0157971375214792,0.141479634247714,0.0892768079800499,0.511352145510451,0.413904966163747
2002-08-23,0.0217489334883991,0.0393743072607093,0.966417290108063,0.989858686616791,29.2743811480729,98.1057079546171
2002-08-26,-0.00695192033296443,-0.00396876710817473,0.21163757273483,0.376059850374065,0.643964749869126,1.02248759866029
2002-08-27,0.0116136759232015,0.0354735168884415,0.897921862011638,0.985702410640066,9.28744598569957,69.4406604038722
2002-08-28,0.022120468599895,0.037203556250935,0.96691604322527,0.987863674147963,29.7233270720555,81.8962427288021
2002-08-29,-0.000433935591789059,-0.0131162421096942,0.523524522028263,0.126849542809643,1.54518569378709,0.484319291848067
2002-08-30,0.00391498507942156,0.0126909044101651,0.743973399833749,0.873482959268495,3.38123417676225,7.39280480185145
2002-09-03,0.0388812286467104,0.0368567565329516,0.992684954280964,0.987364921030756,136.20393362744,78.6436772132614
2002-09-04,-0.0141724577407034,-0.00396773333868872,0.0716541978387365,0.376392352452203,0.379376553605991,1.02341241224221
2002-09-05,0.00852378156666322,0.0249457432422244,0.852202826267664,0.959767248545303,6.25270736426506,24.3519499575528
2002-09-06,-0.0136478160401889,-0.0302114193589333,0.0776392352452203,0.0191188694929343,0.391284930963661,0.252711627347516
2002-09-09,-0.00730692524409626,-0.0100151070342482,0.203990024937656,0.187032418952618,0.629055764821057,0.596490258321546
2002-09-10,-0.0114055070955237,-0.0243971934021614,0.10573566084788,0.0345802161263508,0.445074855379409,0.297223320535295
2002-09-11,0.00623557902841743,0.00849312818848391,0.80332502078138,0.811970074812968,4.56629576704096,4.80095727604854
2002-09-12,0.0186066899719304,0.0276710209037478,0.954613466334165,0.970074812967581,21.5290964415001,32.9141348653096
