"structure_variable","threshold_probability","threshold","threshold_percent","n_observations","n_exceedances","exceedance_fraction","sigma","xi","se_sigma","se_xi"
"max_SPY_TLT",0.975,0.0260447036660838,2.60447036660838,6014,151,0.0251080811439973,0.00929909977682098,0.279858190429513,0.00125521894332442,0.114744248587435
"min_SPY_TLT",0.975,0.00743738669675047,0.743738669675047,6014,151,0.0251080811439973,0.00296721294518044,0.27352708035539,0.000273209405772876,0.100919683651808
