"pair","angular_probability","radial_threshold","n_radial_extremes","mean_W","median_W","sd_W","angular_balance_mean","angular_balance_median","share_W_between_0_4_and_0_6","share_W_below_0_25","share_W_above_0_75","share_endpoint_heavy","endpoint_asymmetry"
"spy_qqq",0.9,19.811825449395,602,0.496217436831153,0.496182153527753,0.176241167359937,-0.00378256316884662,-0.00381784647224703,0.393687707641196,0.0996677740863787,0.0714285714285714,0.17109634551495,-0.0282392026578073
"spy_qqq",0.95,38.0897074336456,301,0.499255212841796,0.495777366588909,0.187188460955461,-0.000744787158203752,-0.00422263341109136,0.365448504983389,0.119601328903654,0.0930232558139535,0.212624584717608,-0.026578073089701
"spy_qqq",0.975,77.0811205909288,151,0.497993080610217,0.495777366588909,0.191339336146996,-0.00200691938978315,-0.00422263341109136,0.337748344370861,0.119205298013245,0.112582781456954,0.231788079470199,-0.00662251655629138
