"pair","asset_x","asset_y","pearson_correlation","chi_hat","chi_ci_lower_block","chi_ci_upper_block","implied_alpha_hat","joint_ratio_975","conditional_coexceedance_975","n_joint_975","angular_share_joint_0_4_0_6","angular_share_endpoint_heavy","angular_balance_mean","angular_balance_median","endpoint_asymmetry","rank_by_chi"
"spy_qqq","SPY","QQQ",0.913303277943174,0.710460864684344,0.592041849441252,0.836815178164531,0.36685555712796,27.1673172229288,0.682119205298013,103,0.365448504983389,0.212624584717608,-0.000744787158203752,-0.00422263341109136,-0.026578073089701,1
"spy_vix","SPY","VIX",0.735612155687239,0.463037744381277,0.379244505325317,0.556749473890728,0.620081736075975,16.8806631288101,0.423841059602649,64,0.166112956810631,0.564784053156146,0.00396197172842028,-0.0355452024476746,0.0199335548172758,2
"spy_tlt","SPY","TLT",-0.303207837009049,0.0450536050802097,0.0213986478639788,0.0726961714553169,0.967129049044823,1.58256216832595,0.0397350993377483,6,0.0299003322259136,0.943521594684385,0.00593847372050049,-0.0600979385993798,0,3
