"pair","bootstrap_type","block_length","high_chi_cutoff","n_bootstrap_requested","n_bootstrap_success","chi_boot_mean","chi_boot_sd","chi_ci_lower","chi_ci_upper"
"spy_qqq","iid",NA,0.95,500,500,0.711555497489985,0.0522167055520931,0.610508570830321,0.809594961843882
"spy_qqq","block",5,0.95,500,500,0.712240763615058,0.0607209598957979,0.592041849441252,0.836815178164531
"spy_tlt","iid",NA,0.95,500,500,0.0449542029796437,0.0134493674741011,0.0192030434277691,0.0735371874796551
"spy_tlt","block",5,0.95,500,500,0.0455650747902162,0.0132894551316993,0.0213986478639788,0.0726961714553169
"spy_vix","iid",NA,0.95,500,500,0.463679738458589,0.0424102132431565,0.382196666772241,0.539761390089791
"spy_vix","block",5,0.95,500,500,0.463803805230477,0.0456125950701211,0.379244505325317,0.556749473890728
