"asset","threshold_probability","threshold","threshold_percent","n_observations","n_exceedances","exceedance_fraction","sigma","xi","se_sigma","se_xi"
"SPY",0.975,0.0243862185019047,2.43862185019047,6014,151,0.0251080811439973,0.00992960058664221,0.241958563912994,0.00129581626423904,0.108016258890863
"QQQ",0.975,0.0294847473353475,2.94847473353475,6014,151,0.0251080811439973,0.00965639601525067,0.143347062226385,0.00112480965663194,0.0888014718852884
"SPY",0.975,0.0243862185019047,2.43862185019047,6014,151,0.0251080811439973,0.00992960058664221,0.241958563912994,0.00129581626423904,0.108016258890863
"TLT",0.975,0.0180231686739803,1.80231686739803,6014,151,0.0251080811439973,0.00481392722072003,0.154761901001264,0.000490505758328931,0.081998143352226
"SPY",0.975,0.0243862185019047,2.43862185019047,6014,151,0.0251080811439973,0.00992960058664221,0.241958563912994,0.00129581626423904,0.108016258890863
"VIX",0.975,0.163192946001003,16.3192946001003,6014,151,0.0251080811439973,0.0685023084769828,0.135168198763859,0.00879774146926237,0.100054792070938
