"asset","threshold_probability","threshold","threshold_percent","n_observations","n_exceedances","exceedance_fraction","sigma","xi","se_sigma","se_xi"
"SPY",0.975,0.0243862185019047,2.43862185019047,6014,151,0.0251080811439973,0.00992960058664221,0.241958563912994,0.00129581626423904,0.108016258890863
"VIX",0.975,0.163192946001003,16.3192946001003,6014,151,0.0251080811439973,0.0685023084769828,0.135168198763859,0.00879774146926237,0.100054792070938
