"structure_variable","threshold_probability","threshold","threshold_percent","n_observations","n_exceedances","exceedance_fraction","sigma","xi","se_sigma","se_xi"
"max_SPY_QQQ",0.975,0.0303350358968522,3.03350358968521,6014,151,0.0251080811439973,0.0109902487428914,0.141540020399261,0.00132646537796236,0.0934638563087198
"min_SPY_QQQ",0.975,0.023290186925465,2.3290186925465,6014,151,0.0251080811439973,0.00857069699928225,0.226989317413836,0.00105669352308161,0.0999221510042623
