"r","mu","sigma","xi","se_mu","se_sigma","se_xi"
1,0.0134885891037295,0.00785631868096592,0.199941934375256,0.000449094871272326,0.000321506091616865,0.0432973808624244
2,0.0155820419878046,0.00864692796973833,0.185720589859961,0.000404356963939385,0.000268809081732851,0.0345215267611788
3,0.0167281869706136,0.00894119487632238,0.192508675710012,0.000371646868122907,0.0002516821861518,0.0309030233989894
