"volatility_state","volatility_quantile","z_vol","mu_hat","sigma_hat","xi_hat"
"low volatility",0.25,-0.718101421221494,0.0258498733476648,0.0082655095761938,0.0445153313722023
"median volatility",0.5,-0.0716589282434275,0.0349135709073098,0.0091989755731785,0.0445153313722023
"high volatility",0.75,0.657464307260888,0.0451365258678914,0.0103789362207222,0.0445153313722023
"crisis volatility",0.9,1.30156990639059,0.0541674581014623,0.0115466150364286,0.0445153313722023
"extreme crisis volatility",0.95,1.65204628175994,0.0590814479809243,0.0122362643544905,0.0445153313722023
