"model","volatility_state","volatility_quantile","z_vol","mu_hat","sigma_hat","xi_hat","return_period_years","return_level_decimal","return_level_percent"
"volatility-dependent scale point process","low volatility",0.25,-0.718101421221494,0.0537659489359914,0.0225665411648617,0.165338223257368,1,0.0537659489359914,5.37659489359914
"volatility-dependent scale point process","low volatility",0.25,-0.718101421221494,0.0537659489359914,0.0225665411648617,0.165338223257368,5,0.0953764601149577,9.53764601149577
"volatility-dependent scale point process","low volatility",0.25,-0.718101421221494,0.0537659489359914,0.0225665411648617,0.165338223257368,10,0.117002671444254,11.7002671444254
"volatility-dependent scale point process","low volatility",0.25,-0.718101421221494,0.0537659489359914,0.0225665411648617,0.165338223257368,20,0.1412549309798,14.12549309798
"volatility-dependent scale point process","low volatility",0.25,-0.718101421221494,0.0537659489359914,0.0225665411648617,0.165338223257368,50,0.177892012525237,17.7892012525237
"volatility-dependent scale point process","low volatility",0.25,-0.718101421221494,0.0537659489359914,0.0225665411648617,0.165338223257368,100,0.209538001017313,20.9538001017313
"volatility-dependent scale point process","median volatility",0.5,-0.0716589282434275,0.0537659489359914,0.0199109835206037,0.165338223257368,1,0.0537659489359914,5.37659489359914
"volatility-dependent scale point process","median volatility",0.5,-0.0716589282434275,0.0537659489359914,0.0199109835206037,0.165338223257368,5,0.0904798696168604,9.04798696168604
"volatility-dependent scale point process","median volatility",0.5,-0.0716589282434275,0.0537659489359914,0.0199109835206037,0.165338223257368,10,0.109561178278429,10.9561178278429
"volatility-dependent scale point process","median volatility",0.5,-0.0716589282434275,0.0537659489359914,0.0199109835206037,0.165338223257368,20,0.130959510278973,13.0959510278973
"volatility-dependent scale point process","median volatility",0.5,-0.0716589282434275,0.0537659489359914,0.0199109835206037,0.165338223257368,50,0.163285258454776,16.3285258454776
"volatility-dependent scale point process","median volatility",0.5,-0.0716589282434275,0.0537659489359914,0.0199109835206037,0.165338223257368,100,0.191207249279851,19.1207249279851
"volatility-dependent scale point process","high volatility",0.75,0.657464307260888,0.0537659489359914,0.0172888516952553,0.165338223257368,1,0.0537659489359914,5.37659489359914
"volatility-dependent scale point process","high volatility",0.75,0.657464307260888,0.0537659489359914,0.0172888516952553,0.165338223257368,5,0.0856449130838992,8.56449130838992
"volatility-dependent scale point process","high volatility",0.75,0.657464307260888,0.0537659489359914,0.0172888516952553,0.165338223257368,10,0.10221335206934,10.221335206934
"volatility-dependent scale point process","high volatility",0.75,0.657464307260888,0.0537659489359914,0.0172888516952553,0.165338223257368,20,0.120793679259126,12.0793679259126
"volatility-dependent scale point process","high volatility",0.75,0.657464307260888,0.0537659489359914,0.0172888516952553,0.165338223257368,50,0.148862361329568,14.8862361329568
"volatility-dependent scale point process","high volatility",0.75,0.657464307260888,0.0537659489359914,0.0172888516952553,0.165338223257368,100,0.17310722888779,17.310722888779
"volatility-dependent scale point process","crisis volatility",0.9,1.30156990639059,0.0537659489359914,0.0152612609840059,0.165338223257368,1,0.0537659489359914,5.37659489359914
"volatility-dependent scale point process","crisis volatility",0.9,1.30156990639059,0.0537659489359914,0.0152612609840059,0.165338223257368,5,0.0819062326480963,8.19062326480963
"volatility-dependent scale point process","crisis volatility",0.9,1.30156990639059,0.0537659489359914,0.0152612609840059,0.165338223257368,10,0.0965315690157964,9.65315690157964
"volatility-dependent scale point process","crisis volatility",0.9,1.30156990639059,0.0537659489359914,0.0152612609840059,0.165338223257368,20,0.112932844670753,11.2932844670753
"volatility-dependent scale point process","crisis volatility",0.9,1.30156990639059,0.0537659489359914,0.0152612609840059,0.165338223257368,50,0.137709706090164,13.7709706090164
"volatility-dependent scale point process","crisis volatility",0.9,1.30156990639059,0.0537659489359914,0.0152612609840059,0.165338223257368,100,0.159111199830216,15.9111199830216
"volatility-dependent scale point process","extreme crisis volatility",0.95,1.65204628175994,0.0537659489359914,0.0142597478864743,0.165338223257368,1,0.0537659489359914,5.37659489359914
"volatility-dependent scale point process","extreme crisis volatility",0.95,1.65204628175994,0.0537659489359914,0.0142597478864743,0.165338223257368,5,0.0800595397217737,8.00595397217737
"volatility-dependent scale point process","extreme crisis volatility",0.95,1.65204628175994,0.0537659489359914,0.0142597478864743,0.165338223257368,10,0.0937250952467631,9.37250952467631
"volatility-dependent scale point process","extreme crisis volatility",0.95,1.65204628175994,0.0537659489359914,0.0142597478864743,0.165338223257368,20,0.10905004487585,10.905004487585
"volatility-dependent scale point process","extreme crisis volatility",0.95,1.65204628175994,0.0537659489359914,0.0142597478864743,0.165338223257368,50,0.132200936380111,13.2200936380111
"volatility-dependent scale point process","extreme crisis volatility",0.95,1.65204628175994,0.0537659489359914,0.0142597478864743,0.165338223257368,100,0.152197967126583,15.2197967126583
