"model","volatility_state","volatility_quantile","z_vol","mu_hat","sigma_hat","xi_hat","return_period_years","return_level_decimal","return_level_percent"
"volatility-dependent location point process","low volatility",0.25,-0.718101421221494,0.0283793906245979,0.0100104051756194,-0.127849997909117,1,0.0283793906245979,2.83793906245979
"volatility-dependent location point process","low volatility",0.25,-0.718101421221494,0.0283793906245979,0.0100104051756194,-0.127849997909117,5,0.0429410250189647,4.29410250189647
"volatility-dependent location point process","low volatility",0.25,-0.718101421221494,0.0283793906245979,0.0100104051756194,-0.127849997909117,10,0.0483462349043143,4.83462349043143
"volatility-dependent location point process","low volatility",0.25,-0.718101421221494,0.0283793906245979,0.0100104051756194,-0.127849997909117,20,0.0532930522852642,5.32930522852642
"volatility-dependent location point process","low volatility",0.25,-0.718101421221494,0.0283793906245979,0.0100104051756194,-0.127849997909117,50,0.0591944958919592,5.91944958919592
"volatility-dependent location point process","low volatility",0.25,-0.718101421221494,0.0283793906245979,0.0100104051756194,-0.127849997909117,100,0.0632213191139427,6.32213191139427
"volatility-dependent location point process","median volatility",0.5,-0.0716589282434275,0.0370497815445175,0.0100104051756194,-0.127849997909117,1,0.0370497815445175,3.70497815445175
"volatility-dependent location point process","median volatility",0.5,-0.0716589282434275,0.0370497815445175,0.0100104051756194,-0.127849997909117,5,0.0516114159388842,5.16114159388842
"volatility-dependent location point process","median volatility",0.5,-0.0716589282434275,0.0370497815445175,0.0100104051756194,-0.127849997909117,10,0.0570166258242338,5.70166258242338
"volatility-dependent location point process","median volatility",0.5,-0.0716589282434275,0.0370497815445175,0.0100104051756194,-0.127849997909117,20,0.0619634432051837,6.19634432051837
"volatility-dependent location point process","median volatility",0.5,-0.0716589282434275,0.0370497815445175,0.0100104051756194,-0.127849997909117,50,0.0678648868118787,6.78648868118787
"volatility-dependent location point process","median volatility",0.5,-0.0716589282434275,0.0370497815445175,0.0100104051756194,-0.127849997909117,100,0.0718917100338622,7.18917100338622
"volatility-dependent location point process","high volatility",0.75,0.657464307260888,0.046829125491255,0.0100104051756194,-0.127849997909117,1,0.046829125491255,4.6829125491255
"volatility-dependent location point process","high volatility",0.75,0.657464307260888,0.046829125491255,0.0100104051756194,-0.127849997909117,5,0.0613907598856217,6.13907598856217
"volatility-dependent location point process","high volatility",0.75,0.657464307260888,0.046829125491255,0.0100104051756194,-0.127849997909117,10,0.0667959697709713,6.67959697709713
"volatility-dependent location point process","high volatility",0.75,0.657464307260888,0.046829125491255,0.0100104051756194,-0.127849997909117,20,0.0717427871519212,7.17427871519212
"volatility-dependent location point process","high volatility",0.75,0.657464307260888,0.046829125491255,0.0100104051756194,-0.127849997909117,50,0.0776442307586162,7.76442307586162
"volatility-dependent location point process","high volatility",0.75,0.657464307260888,0.046829125491255,0.0100104051756194,-0.127849997909117,100,0.0816710539805998,8.16710539805998
"volatility-dependent location point process","crisis volatility",0.9,1.30156990639059,0.0554681728911804,0.0100104051756194,-0.127849997909117,1,0.0554681728911804,5.54681728911804
"volatility-dependent location point process","crisis volatility",0.9,1.30156990639059,0.0554681728911804,0.0100104051756194,-0.127849997909117,5,0.0700298072855472,7.00298072855472
"volatility-dependent location point process","crisis volatility",0.9,1.30156990639059,0.0554681728911804,0.0100104051756194,-0.127849997909117,10,0.0754350171708968,7.54350171708968
"volatility-dependent location point process","crisis volatility",0.9,1.30156990639059,0.0554681728911804,0.0100104051756194,-0.127849997909117,20,0.0803818345518467,8.03818345518467
"volatility-dependent location point process","crisis volatility",0.9,1.30156990639059,0.0554681728911804,0.0100104051756194,-0.127849997909117,50,0.0862832781585417,8.62832781585417
"volatility-dependent location point process","crisis volatility",0.9,1.30156990639059,0.0554681728911804,0.0100104051756194,-0.127849997909117,100,0.0903101013805252,9.03101013805252
"volatility-dependent location point process","extreme crisis volatility",0.95,1.65204628175994,0.0601689269654517,0.0100104051756194,-0.127849997909117,1,0.0601689269654517,6.01689269654517
"volatility-dependent location point process","extreme crisis volatility",0.95,1.65204628175994,0.0601689269654517,0.0100104051756194,-0.127849997909117,5,0.0747305613598185,7.47305613598185
"volatility-dependent location point process","extreme crisis volatility",0.95,1.65204628175994,0.0601689269654517,0.0100104051756194,-0.127849997909117,10,0.0801357712451681,8.0135771245168
"volatility-dependent location point process","extreme crisis volatility",0.95,1.65204628175994,0.0601689269654517,0.0100104051756194,-0.127849997909117,20,0.0850825886261179,8.50825886261179
"volatility-dependent location point process","extreme crisis volatility",0.95,1.65204628175994,0.0601689269654517,0.0100104051756194,-0.127849997909117,50,0.0909840322328129,9.09840322328129
"volatility-dependent location point process","extreme crisis volatility",0.95,1.65204628175994,0.0601689269654517,0.0100104051756194,-0.127849997909117,100,0.0950108554547965,9.50108554547965
