"volatility_state","volatility_quantile","z_vol","mu_hat","sigma_hat","xi_hat"
"low volatility",0.25,-0.718101421221494,0.0537659489359914,0.0225665411648617,0.165338223257368
"median volatility",0.5,-0.0716589282434275,0.0537659489359914,0.0199109835206037,0.165338223257368
"high volatility",0.75,0.657464307260888,0.0537659489359914,0.0172888516952553,0.165338223257368
"crisis volatility",0.9,1.30156990639059,0.0537659489359914,0.0152612609840059,0.165338223257368
"extreme crisis volatility",0.95,1.65204628175994,0.0537659489359914,0.0142597478864743,0.165338223257368
