"model","n_parameters","n_observations","nll","AIC","BIC","xi","convergence"
"stationary point process",3,210,-909.926096975964,-1813.85219395193,-1803.81087135978,0.284110828351447,0
"volatility-dependent scale point process",4,210,-969.404475614561,-1930.80895122912,-1917.42052110625,0.165338223257368,0
"volatility-dependent location point process",4,210,-1033.74843040333,-2059.49686080666,-2046.10843068379,-0.127849997909117,0
"volatility-dependent location + scale point process",5,210,-1043.32296456521,-2076.64592913043,-2059.91039147684,0.0445153313722023,0
