"date","return","loss","rv21_lag","log_vol","z_vol","t_scaled"
1993-03-03,0.0041641639052159,-0.0041641639052159,0.00826767896765419,-4.79540146621179,-0.107074289377369,-1.73174101797847
1993-03-04,-0.00555577107826366,0.00555577107826366,0.00818551497733065,-4.8053891529323,-0.127153907739827,-1.73132796108689
1993-03-05,-0.00278911523056591,0.00278911523056591,0.00830043936283883,-4.79144683029882,-0.0991237416562723,-1.7309149041953
1993-03-08,0.0220999192153544,-0.0220999192153544,0.00800567012570308,-4.82760522264521,-0.171817923926162,-1.73050184730371
1993-03-09,-0.00342119473325342,0.00342119473325342,0.00932703771429443,-4.67483781568448,0.135311375964005,-1.73008879041213
1993-03-10,0.002054470988746,-0.002054470988746,0.00936758597878532,-4.67049984892539,0.14403258633324,-1.72967573352054
1993-03-11,-0.0027399794287386,0.0027399794287386,0.00937110590715924,-4.67012416331865,0.144787878706602,-1.72926267662895
1993-03-12,-0.010341346658493,0.010341346658493,0.00924119163258853,-4.6840844370779,0.116721623009435,-1.72884961973737
1993-03-15,0.00483922215925059,-0.00483922215925059,0.00956263726491407,-4.64989172543169,0.18546392739342,-1.72843656284578
1993-03-16,0,0,0.00956169259569271,-4.64999051783163,0.185265311463277,-1.72802350595419
1993-03-17,-0.00622638977984424,0.00622638977984424,0.0093826269564851,-4.66889549584653,0.147258037675842,-1.7276104490626
1993-03-18,0.00622638977984424,-0.00622638977984424,0.00741404407532934,-4.90437922939275,-0.32616725413502,-1.72719739217102
1993-03-19,-0.00151465421901387,0.00151465421901387,0.0074563910861935,-4.89868375042702,-0.314716850530719,-1.72678433527943
1993-03-22,-0.00556716050587314,0.00556716050587314,0.00747294262522958,-4.89646643167224,-0.31025907010269,-1.72637127838784
1993-03-23,0.00209167540445776,-0.00209167540445776,0.00763923690860838,-4.87445756186436,-0.266011616343094,-1.72595822149626
1993-03-24,0,0,0.00762622851449073,-4.87616185281203,-0.26943798650924,-1.72554516460467
1993-03-25,0.00624821357522309,-0.00624821357522309,0.00761759141596328,-4.87729504639358,-0.271716201203487,-1.72513210771308
1993-03-26,-0.00555224199874305,0.00555224199874305,0.00725787005045184,-4.92566887467066,-0.368968752040891,-1.7247190508215
1993-03-29,0.00416653192803063,-0.00416653192803063,0.00740043900682529,-4.90621595528502,-0.329859876459426,-1.72430599392991
1993-03-30,0.00276843164786111,-0.00276843164786111,0.00743570890953443,-4.90146135599804,-0.320301052497419,-1.72389293703832
1993-03-31,-0.000691313173562413,0.000691313173562413,0.00739371748490138,-4.90712462789372,-0.331686705805362,-1.72347988014673
1993-04-01,-0.003464136877394,0.003464136877394,0.00672213649394022,-5.00234924433045,-0.523129830751769,-1.72306682325515
1993-04-02,-0.0210380854237444,0.0210380854237444,0.00671969194749661,-5.00271296664415,-0.523861071674062,-1.72265376636356
1993-04-05,0.00494813096844071,-0.00494813096844071,0.00808481755457651,-4.81776735212277,-0.15203950164303,-1.72224070947197
1993-04-06,-0.00282426981919182,0.00282426981919182,0.00815662031396433,-4.80892537301145,-0.13426325664332,-1.72182765258039
1993-04-07,0.00352993127340229,-0.00352993127340229,0.00635790599466657,-5.05805620196512,-0.635125178697581,-1.7214145956888
1993-04-08,-0.00141104005165493,0.00141104005165493,0.00642961768563531,-5.04684020041083,-0.612576110323187,-1.72100153879721
1993-04-12,0.0140158195278128,-0.0140158195278128,0.00638896809316019,-5.0531825114016,-0.625326929185903,-1.72058848190563
1993-04-13,0.00208539752652515,-0.00208539752652515,0.0071913704393884,-4.93487352188066,-0.387474118529623,-1.72017542501404
1993-04-14,-0.00138990998962241,0.00138990998962241,0.00684091365271037,-4.98483398131036,-0.487916491887315,-1.71976236812245
1993-04-15,0,0,0.00676087483137603,-4.99660298437495,-0.511577335149259,-1.71934931123086
1993-04-16,0,0,0.00676087483137603,-4.99660298437495,-0.511577335149259,-1.71893625433928
1993-04-19,-0.00418027661902443,0.00418027661902443,0.00661705571881092,-5.0181047634329,-0.554805314728427,-1.71852319744769
1993-04-20,-0.00490071920436908,0.00490071920436908,0.00652634117063026,-5.03190880350292,-0.582557472382393,-1.7181101405561
1993-04-21,-0.000701989711894946,0.000701989711894946,0.00659746505550242,-5.02106978622797,-0.560766307281257,-1.71769708366452
1993-04-22,-0.0127213696744319,0.0127213696744319,0.00649644744280907,-5.03649979875208,-0.59178738067715,-1.71728402677293
1993-04-23,-0.00427657003851234,0.00427657003851234,0.00700784645746634,-4.96072483519618,-0.439446564208947,-1.71687096988134
1993-04-26,-0.00788829045062878,0.00788829045062878,0.0070392373937841,-4.95625543942631,-0.430461124048378,-1.71645791298976
1993-04-27,0.0107417887725916,-0.0107417887725916,0.00696600062719563,-4.96671401700164,-0.45148743897026,-1.71604485609817
1993-04-28,-0.00213932051919707,0.00213932051919707,0.0074288497844906,-4.90238423916892,-0.322156451288253,-1.71563179920658
1993-04-29,0.00427352341203946,-0.00427352341203946,0.00733187309195398,-4.91552425794417,-0.34857363573403,-1.71521874231499
1993-04-30,0.00142019710480046,-0.00142019710480046,0.00738191095216989,-4.90872273727967,-0.334899604594563,-1.71480568542341
1993-05-03,0.00636709846135597,-0.00636709846135597,0.00740545810061672,-4.9055379694869,-0.328496828492213,-1.71439262853182
1993-05-04,0.00352038229712326,-0.00352038229712326,0.00756645088536958,-4.88403116092156,-0.28525873740356,-1.71397957164023
1993-05-05,0.00280713069846605,-0.00280713069846605,0.00601551549771935,-5.11341323119622,-0.746417017513167,-1.71356651474865
1993-05-06,-0.00351049663955338,0.00351049663955338,0.00595244910536679,-5.12395252976719,-0.767605616939122,-1.71315345785706
1993-05-07,-0.00211135490182546,0.00211135490182546,0.00597231614925024,-5.12062046211794,-0.760906703704551,-1.71274040096547
1993-05-10,0.00211135490182546,-0.00211135490182546,0.00594509899940353,-5.12518809642909,-0.770089646297137,-1.71232734407389
1993-05-11,0.00421077849070128,-0.00421077849070128,0.00595298246909845,-5.12386292970041,-0.767425481618862,-1.7119142871823
