"volatility_state","volatility_quantile","z_vol","mu_hat","sigma_hat","xi_hat"
"low volatility",0.25,-0.718101421221494,0.0283793906245979,0.0100104051756194,-0.127849997909117
"median volatility",0.5,-0.0716589282434275,0.0370497815445175,0.0100104051756194,-0.127849997909117
"high volatility",0.75,0.657464307260888,0.046829125491255,0.0100104051756194,-0.127849997909117
"crisis volatility",0.9,1.30156990639059,0.0554681728911804,0.0100104051756194,-0.127849997909117
"extreme crisis volatility",0.95,1.65204628175994,0.0601689269654517,0.0100104051756194,-0.127849997909117
