"model","xi","se_xi"
"Chapter 3 GEV monthly maxima",0.2017924190624,0.0434335041538532
"Chapter 4 stationary GPD",0.283348629676857,0.0934216097766879
"Chapter 7 stationary point process",0.284110828351447,0.0930009160229855
"Chapter 7 volatility scale point process",0.165338223257368,0.0623536705357144
"Chapter 7 volatility location point process",-0.127849997909117,0.0372264361451411
"Chapter 7 volatility location + scale point process",0.0445153313722023,0.059660977574429
