"loss","fitted_cdf","exponential_residual"
0.0329173787242865,0.595728903095032,0.905669594119265
0.0258719521110491,0.175403247191445,0.192860796616005
0.0299703273733463,0.464657670419076,0.624848868339055
0.0268279411683454,0.258047996894652,0.298470723748825
0.0322681133239855,0.570742188327358,0.845697580948146
0.0245441731387066,0.0398965643893278,0.0407142548965932
0.0311829277435205,0.524372801343452,0.743120927708702
0.0752339649251677,0.970369866974869,3.51896342786468
0.0352541536360009,0.67157028597574,1.11343242430258
0.0266683931026463,0.245019967228541,0.281063976743151
0.0395122451619194,0.768483434985013,1.46310385287546
0.0482165326842203,0.875714834981312,2.08517663578845
0.0740147992455586,0.968739975400563,3.46541516705894
0.0245714229290837,0.0429539387231512,0.0439037577816396
0.0289875177832757,0.409027254230434,0.525985378088516
0.0248382488514283,0.0722408650950518,0.0749831327897718
0.0308465812491008,0.508705420198221,0.710711372227889
0.0292947694531192,0.427184764509771,0.557192065417381
0.028648826108463,0.388146099628976,0.491261749853079
0.0292392938259063,0.423959893715203,0.551577991743568
0.0268556685386194,0.260282578410071,0.301487028428367
0.0292845959805685,0.42659510641232,0.556163191234301
0.0262815288121052,0.212188193232854,0.238496041546788
0.0262249925555622,0.207237686282245,0.232231832770086
0.0259372760610965,0.181415786554896,0.200178999931308
0.0398921773957284,0.775230378239473,1.49267930461132
0.0287520760204281,0.394610705811947,0.501883566416006
0.0316912936021128,0.546856475996547,0.79154637364944
0.0278089812851228,0.332122821961044,0.403650987561915
0.0588932646463887,0.93433042858548,2.72311960515171
0.0252650780843648,0.1167400523982,0.124135730307804
0.0251907253966897,0.109188719175052,0.115622679977999
0.0246252380927219,0.0489552646240513,0.0501941771898511
0.0293904129379836,0.432690407213533,0.56685010524478
0.0331873348943814,0.605567602634622,0.930307516205899
0.030024427578689,0.467520643789697,0.630211149830225
0.043744931713622,0.831250496782313,1.77933989312902
0.0272091151402103,0.288024452782948,0.339711711956198
0.0280281891041536,0.347359874325985,0.426729410850369
0.0339321686784277,0.631164601379133,0.997404808660494
0.0261072814950198,0.196801650415088,0.219153584846445
0.0536636155006365,0.911526635066643,2.42505373347117
0.032296192129917,0.571863172169742,0.848312443298489
0.026359642330755,0.218962961407763,0.247132705693033
0.0319469685058245,0.557649051845161,0.815651711605647
0.0251698994849967,0.107058768317114,0.11323451025678
0.0251801303318677,0.108105934961358,0.114407914622235
0.0269401022731159,0.267034182234139,0.310656211517286
0.0255086065382031,0.140904647995644,0.15187535966081
0.0370812212279663,0.718533869244602,1.2677431556734
0.0329371129407843,0.596458731069046,0.907476519101977
0.0358276026708824,0.687326962793476,1.16259724399064
0.0300785972184237,0.470367622717387,0.635572140875662
0.0277538158338362,0.328216525903675,0.397819201546341
0.0264548307085049,0.227117845345182,0.257628693950951
0.0354171780783665,0.676151471749225,1.12747937790337
0.0388806260590986,0.756680368826464,1.41337934533903
0.0262175954419375,0.206587017814212,0.231411408311061
0.0353791994833812,0.675091595429408,1.12421196846501
0.0304400377485154,0.488871996877919,0.671135224800616
0.0286508364449296,0.388272813250578,0.491468869141517
0.024537757733853,0.0391749449520438,0.0399629312791462
0.0248107600787835,0.0692773421375549,0.0717939431180245
0.0278762369050396,0.336845863856918,0.410747832945818
0.0266165553337459,0.240723961217995,0.275389880244938
0.024296855681631,0.0115661863919416,0.0116335950035762
0.033797790751593,0.626707784172787,0.985393745603649
0.0398405383435314,0.77432831940288,1.48867407668146
0.0260818599773875,0.19452470216285,0.216322743704185
0.0300820513497246,0.470548496892616,0.635913708111905
0.0265047965629739,0.231354727097728,0.263125699512637
0.0277374535637795,0.327052265841027,0.396087613335389
0.0278033053581801,0.33172225487298,0.403051405742294
0.024811745094909,0.0693837450499708,0.0719082725523896
0.0262581404274167,0.210145054702321,0.235905963927343
0.027139035262584,0.282631488828694,0.33216560783403
0.025081801045328,0.0979758938604943,0.10311403406653
0.032413643484503,0.576511614497394,0.859229190289463
0.0275362987169228,0.312525038306949,0.374729869460173
0.0305688292556443,0.495264640339359,0.68372102733983
0.0301373784506636,0.47343489729619,0.64138030319328
0.04875423689675,0.879995439160351,2.12022552992527
0.0460054691919769,0.855903126588217,1.93726947356262
0.0816026864829285,0.977317678421254,3.78616944298267
0.0369488262435986,0.71543280126369,1.2567858538818
0.0522761212159866,0.903821084297413,2.34154511682284
0.0458202912778276,0.854065211773144,1.92459541303473
0.0255151719887863,0.141544292872994,0.152620193304644
0.0723971447912941,0.966395089624144,3.39308308055212
0.0245554244866595,0.0411604620678566,0.0420315403800272
0.103637253022186,0.989743348723293,4.579828878801
0.0303104668943099,0.482335373624246,0.658427685831116
0.0559929430334938,0.922767962351863,2.56094091259601
0.052046014504934,0.902460922944197,2.32750219095739
0.0361460376992344,0.695658451304585,1.18960469280161
0.0429370477414022,0.821136809535407,1.72113406444732
0.0570050715321813,0.927079781629779,2.61838933452146
0.0313624883785995,0.532474578457902,0.760301554101649
0.0449982559823736,0.845533121495049,1.86777558423545
0.0511952886198008,0.897212570314556,2.27509221276227
0.0662244405440902,0.955065651074563,3.10255276722931
0.0771326011796112,0.972697207374913,3.60076628806365
0.0927489998781708,0.985152842140808,4.20994682200422
0.0243766612935934,0.0208238921865854,0.0210437672221057
0.0304139719735197,0.487565577516547,0.668582532286506
0.0243136052558111,0.0135184791987653,0.0136106857767852
0.0319597145331576,0.558178406537929,0.816849113088048
0.054230285593845,0.914445179800801,2.45859793658186
0.0330380437521667,0.600165103153383,0.916703574965595
0.0468917456080691,0.864299434732613,1.99730454658339
0.0437162425707252,0.830904108317765,1.77728931856945
0.0364344192174362,0.702959168744193,1.21388567065303
0.0460886499973756,0.856719031947157,1.94294776488146
0.0417051959120114,0.804165883590805,1.63048732295468
0.0351655824411852,0.669046416734994,1.10577714526625
0.042818983837055,0.819594231192566,1.71254669399663
0.0254952771830608,0.139604139956073,0.150362693264565
0.0304459101023022,0.489165729370517,0.671710065004077
0.0276727314367244,0.322421476470926,0.389229831056454
0.0249135810965164,0.0803004515540949,0.0837082400533762
0.0251260448061359,0.102552142509926,0.108200257811524
0.0294022359040929,0.433366259987074,0.568042145153693
0.0313518199551863,0.531998193736277,0.759283123534069
0.0337775703232825,0.626031173217599,0.983582835890676
0.0384912488530329,0.749017411352427,1.38237171019438
0.0357690486538527,0.685763208176929,1.15760846318883
0.0313615641131078,0.532433331215268,0.760213333394647
