"return_period","m_trading_days","chapter4_iid_percent","chapter5_declustered_percent"
"1 year",252,4.45249211206896,3.62455560390001
"5 years",1260,7.3826828078856,6.05279628465219
"10 years",2520,9.13810255869882,7.61384544789942
