"cluster_id","start_index","end_index","start_date","end_date","cluster_size","cluster_duration_trading_days","cluster_max_loss","cluster_max_excess","cluster_max_date"
1,11,11,1993-02-16,1993-02-16,1,1,0.0255517157805354,0.00132787423225184,1993-02-16
2,785,785,1996-03-08,1996-03-08,1,1,0.0329170868958775,0.00869324534759392,1996-03-08
3,867,873,1996-07-05,1996-07-15,2,7,0.0299708255140136,0.00574698396573009,1996-07-15
4,1051,1061,1997-03-27,1997-04-11,2,11,0.0322679496433285,0.00804410809504491,1997-04-11
5,1111,1111,1997-06-23,1997-06-23,1,1,0.0245443185982817,0.000320477049998106,1997-06-23
6,1149,1149,1997-08-15,1997-08-15,1,1,0.0311826629472289,0.00695882139894538,1997-08-15
7,1199,1199,1997-10-27,1997-10-27,1,1,0.0752341240820837,0.0510102825338002,1997-10-27
8,1250,1250,1998-01-09,1998-01-09,1,1,0.0352547379453325,0.011030896397049,1998-01-09
9,1357,1357,1998-06-15,1998-06-15,1,1,0.0266686121332507,0.00244477058496712,1998-06-15
10,1392,1392,1998-08-04,1998-08-04,1,1,0.0395126949220552,0.0152888533737717,1998-08-04
11,1409,1433,1998-08-27,1998-10-01,7,25,0.0740146194467837,0.0497907778985001,1998-08-31
12,1474,1484,1998-11-30,1998-12-14,2,11,0.0292390798545874,0.00501523830630385,1998-12-14
13,1509,1509,1999-01-21,1999-01-21,1,1,0.0268559717369161,0.00263213018863257,1999-01-21
14,1551,1551,1999-03-23,1999-03-23,1,1,0.0292844986899796,0.00506065714169607,1999-03-23
15,1588,1588,1999-05-14,1999-05-14,1,1,0.0262802464386427,0.00205640489035913,1999-05-14
16,1693,1695,1999-10-13,1999-10-15,2,3,0.0262245238682324,0.00200068231994882,1999-10-13
17,1750,1750,2000-01-04,2000-01-04,1,1,0.0398914069039185,0.0156675653556349,2000-01-04
18,1763,1767,2000-01-24,2000-01-28,2,5,0.0316907699236051,0.00746692837532154,2000-01-28
19,1819,1821,2000-04-12,2000-04-14,2,3,0.0588930962612251,0.0346692547129415,2000-04-14
20,1946,1949,2000-10-12,2000-10-17,2,4,0.0252645424282392,0.00104070087995562,2000-10-12
21,1967,1967,2000-11-10,2000-11-10,1,1,0.0246256696353644,0.000401828087080839,2000-11-10
22,1994,2004,2000-12-20,2001-01-05,2,11,0.0331875183838442,0.0089636768355606,2001-01-05
23,2047,2064,2001-03-09,2001-04-03,5,18,0.0437445366544802,0.0195206951061966,2001-03-12
24,2172,2178,2001-09-06,2001-09-20,3,7,0.0536629261911488,0.0294390846428652,2001-09-17
25,2205,2205,2001-10-29,2001-10-29,1,1,0.0263598616406577,0.00213602009237418,2001-10-29
26,2267,2271,2002-01-29,2002-02-04,2,5,0.0319475011119632,0.00772365956367966,2002-01-29
27,2317,2317,2002-04-11,2002-04-11,1,1,0.0251805567379284,0.000956715189644856,2002-04-11
28,2353,2353,2002-06-03,2002-06-03,1,1,0.0269404281502794,0.00271658660199587,2002-06-03
29,2378,2397,2002-07-09,2002-08-05,8,20,0.037080217973319,0.0128563764250354,2002-07-10
30,2417,2417,2002-09-03,2002-09-03,1,1,0.0388804921507901,0.0146566506025066,2002-09-03
31,2429,2448,2002-09-19,2002-10-16,5,20,0.0353781550827539,0.0111543135344703,2002-09-27
32,2464,2464,2002-11-07,2002-11-07,1,1,0.0248112043841164,0.000587362835832887,2002-11-07
