"run_length","threshold","threshold_percent","number_exceedances","number_clusters","mean_cluster_size","max_cluster_size","extremal_index","cluster_rate_per_day","cluster_rate_per_year"
1,0.0242238415482835,2.42238415482836,211,187,1.1283422459893,5,0.886255924170616,0.0222539569201476,5.60799714387719
3,0.0242238415482835,2.42238415482836,211,148,1.42567567567568,12,0.701421800947867,0.017612757348566,4.43841485183863
5,0.0242238415482835,2.42238415482836,211,130,1.62307692307692,14,0.616113744075829,0.0154706652386053,3.89860764012853
10,0.0242238415482835,2.42238415482836,211,97,2.17525773195876,25,0.459715639810427,0.0115434963703439,2.90896108532667
