"model","xi","se_xi"
"Chapter 3 GEV monthly maxima",0.199941934375256,0.0432975103426485
"Chapter 4 iid GPD, 97.5% threshold",0.293218325336111,0.0944041029763295
"Chapter 5 declustered GPD, run length 5",0.357684470015606,0.118542543998595
