"model","observations_used","sigma","xi","se_sigma","se_xi"
"Chapter 4 iid exceedances",211,0.0082943609943135,0.293218325336111,0.000921367433706595,0.0944041029763295
"Chapter 5 declustered cluster maxima",130,0.00685918677168069,0.357684470015606,0.00094070265562811,0.118542543998595
